text,label
What are the new features of iOS 18?,technology
What’s the best way to learn a new skill?,general
How does chemotherapy work?,health
What’s the release date of the new Harry Potter movie?,entertainment
How often should I do cycling?,health
What's the difference between HDMI and DisplayPort?,technology
What's the meaning behind the phrase 'break the ice'?,general
How many points did LeBron James score in the last game?,sports
Where can I stream the latest episode of Succession?,entertainment
Where can I stream the latest episode of Stranger Things?,entertainment
What’s the capital of Brazil?,general
Which language is best for building a mobile app?,technology
Should I invest in crypto in 2025?,finance
What are common traditions during New Year?,general
Is 401(k) better than mutual funds?,finance
What are the benefits of meditation?,health
Latest update on the Shohei Ohtani trade deal?,sports
Is melatonin effective for improving sleep?,health
What’s the release date of the new Marvel movie?,entertainment
How do I install Docker on a Mac?,technology
Should I invest in bonds in 2025?,finance
Is the Vision Pro worth buying in 2025?,technology
Is the iPhone 16 worth buying in 2025?,technology
How does evaporation affect the environment?,science
Who discovered penicillin?,science
What's a good credit score for buying a home?,finance
What’s the capital of Egypt?,general
How often should I do strength training?,health
What's the current standing in the NBA?,sports
Is Yankees making the playoffs this year?,sports
Is Patriots making the playoffs this year?,sports
Is Zendaya starring in any upcoming films?,entertainment
What’s the capital of Japan?,general
Which artists are headlining SXSW this year?,entertainment
What are common traditions during Diwali?,general
Which artists are headlining Coachella this year?,entertainment
How many points did Shohei Ohtani score in the last game?,sports
Is magnesium effective for improving sleep?,health
How can I reduce my debt?,finance
Is the Pixel Fold worth buying in 2025?,technology
How are earthquakes detected?,science
How do you say 'hello' in French?,general
Is Lakers making the playoffs this year?,sports
How does vaccination work?,health
What are the current challenges in neuroscience?,science
Is Brad Pitt starring in any upcoming films?,entertainment
What's the current standing in the MLB?,sports
How do you say 'hello' in Mandarin?,general
How does carbon cycle affect the environment?,science
How often should I do yoga?,health
How does a student loan work?,finance
Which language is best for building a chatbot?,technology
Who won the NBA Finals last night?,sports
Latest update on the Lionel Messi trade deal?,sports
Who discovered relativity?,science
How does photosynthesis affect the environment?,science
Is vitamin D effective for improving sleep?,health
Is 401(k) better than CDs?,finance
What are common traditions during Thanksgiving?,general
What are the current challenges in climate science?,science
How are solar flares detected?,science
How many points did Lionel Messi score in the last game?,sports
What are early symptoms of diabetes?,health
How are gravitational waves detected?,science
What is quantum computing and how does it work?,science
Is Taylor Swift starring in any upcoming films?,entertainment
What's the meaning behind the phrase 'hit the hay'?,general
What awards did Emma Stone win this year?,entertainment
What awards did Leonardo DiCaprio win this year?,entertainment
What awards did Cillian Murphy win this year?,entertainment
What are the benefits of daily walking?,health
What’s the release date of the new Star Wars movie?,entertainment
Who won the World Cup last night?,sports
What's the meaning behind the phrase 'spill the beans'?,general
Who discovered DNA?,science
