Filtering the log data using "subsystem == "com.swift.examples.scribe""
Timestamp                       (process)[PID]    
2025-09-28 22:03:44.197312-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:StateMachine] Recording toggled
2025-09-28 22:03:44.214561-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Recording session starting
2025-09-28 22:03:44.255572-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Mic override disabled; selecting built-in/default input
2025-09-28 22:03:44.375898-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Audio session configured
2025-09-28 22:03:44.376073-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Speech setup starting
2025-09-28 22:03:44.382463-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] SpeechAnalyzer created
2025-09-28 22:03:45.166803-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Model available for locale pt_BR
2025-09-28 22:03:45.171340-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Speech transcriber configured
2025-09-28 22:03:52.304545-0300  localhost SwiftScribe[3122]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:MLWarmup] ML warmup completed in 13.409s
2025-09-28 22:33:42.606916-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:StateMachine] Recording toggled
2025-09-28 22:33:42.611042-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Recording session starting
2025-09-28 22:33:42.660703-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Mic override disabled; selecting built-in/default input
2025-09-28 22:33:42.908127-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Audio session configured
2025-09-28 22:33:42.909616-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Speech setup starting
2025-09-28 22:33:42.918416-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] SpeechAnalyzer created
2025-09-28 22:33:43.866705-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Model available for locale pt_BR
2025-09-28 22:33:43.878115-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Speech transcriber configured
2025-09-28 22:33:49.289161-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:MLWarmup] ML warmup completed in 15.044s
2025-09-28 22:33:49.303000-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Diarization manager initialized
2025-09-28 22:33:49.321556-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Configuring AVAudioEngine + input tap
2025-09-28 22:33:50.035829-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] AVAudioEngine started
2025-09-28 22:33:50.035843-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Motor de gravação iniciado
2025-09-28 22:33:50.036262-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Tap buffer=4096 isBT=1 input=airpods pro
2025-09-28 22:33:50.150974-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Primeiro buffer recebido
